date,sector,sentiment,coverage,headline_count,lagged_sentiment,sentiment_0_100
2022-02-14,Utilities,0.24826,1.0,10,0.147532,62.413
2022-02-15,Utilities,0.2973,1.0,7,0.24826,64.865
2022-02-16,Utilities,0.12082666666666667,0.8,6,0.2973,56.041333333333334
2022-02-17,Utilities,0.17450333333333334,1.0,12,0.12082666666666667,58.725166666666674
2022-02-18,Utilities,0.006004999999999999,0.8,8,0.17450333333333334,50.300250000000005
2022-02-22,Utilities,0.034141333333333336,1.0,19,0.006004999999999999,51.70706666666667
2022-02-23,Utilities,0.045533333333333335,0.6,10,0.034141333333333336,52.27666666666667
2022-02-24,Utilities,0.03681333333333332,0.8,8,0.045533333333333335,51.84066666666667
2022-02-25,Utilities,0.06364,0.4,2,0.03681333333333332,53.181999999999995
2022-02-28,Utilities,0.16144333333333333,0.6,8,0.06364,58.07216666666667
2022-03-01,Utilities,0.08951333333333333,0.8,7,0.16144333333333333,54.47566666666667
2022-03-02,Utilities,0.0,0.4,2,0.08951333333333333,50.0
2022-03-03,Utilities,-0.06364,0.4,2,0.0,46.818
2022-03-04,Utilities,0.15630666666666665,0.8,7,-0.06364,57.81533333333333
2022-03-07,Utilities,0.131465,0.6,6,0.15630666666666665,56.573249999999994
2022-03-08,Utilities,0.023079999999999996,0.4,3,0.131465,51.153999999999996
2022-03-09,Utilities,0.007089999999999999,0.2,2,0.023079999999999996,50.3545
2022-03-10,Utilities,0.062360000000000006,1.0,7,0.007089999999999999,53.117999999999995
2022-03-11,Utilities,0.11148,0.2,1,0.062360000000000006,55.574
2022-03-14,Utilities,0.061453333333333325,0.8,7,0.11148,53.07266666666667
2022-03-15,Utilities,0.0951,0.4,2,0.061453333333333325,54.754999999999995
2022-03-16,Utilities,0.12000000000000002,0.8,6,0.0951,56.00000000000001
2022-03-17,Utilities,0.03066,0.4,5,0.12000000000000002,51.532999999999994
2022-03-18,Utilities,0.08038,0.2,1,0.03066,54.01899999999999
2022-03-21,Utilities,-0.00516,1.0,9,0.08038,49.742
2022-03-22,Utilities,0.18883999999999998,0.4,3,-0.00516,59.44199999999999
2022-03-23,Utilities,0.05464,0.2,1,0.18883999999999998,52.732
2022-03-24,Utilities,0.10928,0.4,2,0.05464,55.464
2022-03-25,Utilities,0.013179999999999997,0.2,2,0.10928,50.659
2022-03-28,Utilities,0.22599200000000003,0.6,7,0.013179999999999997,61.2996
2022-03-29,Utilities,0.040876,0.6,7,0.22599200000000003,52.0438
2022-03-30,Utilities,0.3404,0.6,4,0.040876,67.02
2022-03-31,Utilities,0.23757,0.8,6,0.3404,61.8785
2022-04-01,Utilities,0.07793333333333333,0.2,3,0.23757,53.89666666666667
2022-04-04,Utilities,0.11148,0.6,3,0.07793333333333333,55.574
2022-04-05,Utilities,0.10846,0.4,2,0.11148,55.423
2022-04-06,Utilities,0.23135,0.6,4,0.10846,61.567499999999995
2022-04-07,Utilities,0.10499333333333331,0.6,5,0.23135,55.24966666666666
2022-04-08,Utilities,0.0,0.0,0,0.10499333333333331,50.0
2022-04-11,Utilities,0.15318000000000004,0.6,4,0.0,57.659000000000006
2022-04-12,Utilities,0.2279,0.8,4,0.15318000000000004,61.394999999999996
2022-04-13,Utilities,0.0,0.2,1,0.2279,50.0
2022-04-14,Utilities,0.09022,0.4,2,0.0,54.510999999999996
2022-04-18,Utilities,0.09562,0.4,5,0.09022,54.781
2022-04-19,Utilities,0.15676,0.6,3,0.09562,57.838
2022-04-20,Utilities,0.00516,0.4,2,0.15676,50.258
2022-04-21,Utilities,0.094915,1.0,18,0.00516,54.74575
2022-04-22,Utilities,0.13824533333333333,1.0,13,0.094915,56.91226666666667
2022-04-25,Utilities,0.160215,0.8,13,0.13824533333333333,58.01075
2022-04-26,Utilities,0.28776,0.8,4,0.160215,64.388
2022-04-27,Utilities,0.06838333333333332,0.6,6,0.28776,53.41916666666666
2022-04-28,Utilities,0.11132666666666668,1.0,23,0.06838333333333332,55.56633333333334
2022-04-29,Utilities,0.18022666666666667,0.6,9,0.11132666666666668,59.01133333333334
2022-05-02,Utilities,0.11643466666666666,0.6,12,0.18022666666666667,55.821733333333334
